UP,Down,contronler,hard
0,0,contronler_467,hard_2
0,0,contronler_468,hard_2
0,0,contronler_469,hard_2
0,0,contronler_469,hard_2
0,0,contronler_470,hard_2
0,0,contronler_471,hard_2
0,0,contronler_471,hard_2
0,0,contronler_471,hard_2
0,0,contronler_472,hard_2
0,0,contronler_473,hard_2
0,0,contronler_474,hard_2
0,0,contronler_474,hard_2
0,0,contronler_475,hard_2
0,0,contronler_475,hard_2
0,0,contronler_476,hard_2
0,0,contronler_477,hard_2
0,0,contronler_477,hard_2
0,0,contronler_478,hard_2
0,0,contronler_479,hard_2
0,0,contronler_480,hard_2
0,0,contronler_480,hard_2
0,0,contronler_481,hard_2
0,0,contronler_481,hard_2
0,0,contronler_481,hard_2
0,0,contronler_482,hard_2
0,0,contronler_483,hard_2
0,0,contronler_483,hard_2
0,0,contronler_483,hard_2
0,0,contronler_484,hard_2
0,0,contronler_485,hard_2
0,0,contronler_486,hard_2
0,0,contronler_486,hard_2
0,0,contronler_486,hard_2
0,0,contronler_487,hard_2
0,0,contronler_487,hard_2
0,0,contronler_488,hard_2
0,0,contronler_489,hard_2
0,0,contronler_490,hard_2
0,0,contronler_490,hard_2
0,0,contronler_490,hard_2
0,0,contronler_491,hard_2
0,0,contronler_491,hard_2
0,0,contronler_492,hard_2
0,0,contronler_493,hard_2
0,0,contronler_493,hard_2
0,0,contronler_494,hard_2
0,0,contronler_495,hard_2
0,0,contronler_496,hard_2
0,0,contronler_496,hard_2
0,0,contronler_497,hard_2
0,0,contronler_498,hard_2
0,0,contronler_498,hard_2
0,0,contronler_498,hard_2
0,0,contronler_499,hard_2
0,0,contronler_499,hard_2
0,0,contronler_500,hard_2
0,0,contronler_500,hard_2
0,0,contronler_501,hard_2
0,0,contronler_502,hard_2
0,0,contronler_502,hard_2
0,0,contronler_503,hard_2
0,0,contronler_504,hard_2
0,0,contronler_505,hard_2
0,0,contronler_505,hard_2
0,0,contronler_505,hard_2
0,0,contronler_506,hard_2
0,0,contronler_506,hard_2
0,0,contronler_507,hard_2
0,0,contronler_507,hard_2
